Episode number, episode RL score
980, 36
981, 38
982, 36
983, 14
984, 15
985, 20
986, 36
987, 12
988, 34
989, 36
990, 40
991, 38
992, 40
993, 34
994, 11
995, 34
996, 40
997, 24
998, 28
999, 34
1960, 12
1961, 11
1962, 21
1963, 34
1964, 25
1965, 40
1966, 42
1967, 24
1968, 12
1969, 17
1970, 25
1971, 28
1972, 14
1973, 40
1974, 27
1975, 30
1976, 25
1977, 35
1978, 30
1979, 17
2920, 36
2921, 46
2922, 36
2923, 7
2924, 38
2925, 38
2926, 38
2927, 40
2928, 40
2929, 38
2930, 36
2931, 32
2932, 34
2933, 36
2934, 34
2935, 40
2936, 38
2937, 12
2938, 42
2939, 42
3860, 30
3861, 29
3862, 42
3863, 32
3864, 37
3865, 29
3866, 28
3867, 33
3868, 38
3869, 29
3870, 44
3871, 32
3872, 35
3873, 30
3874, 31
3875, 29
3876, 40
3877, 28
3878, 38
3879, 44
4780, 10
4781, 4
4782, 13
4783, 6
4784, 7
4785, 16
4786, 4
4787, 3
4788, 6
4789, 7
4790, 10
4791, 3
4792, 5
4793, 6
4794, 6
4795, 8
4796, 8
4797, 5
4798, 2
4799, 4
5680, 7
5681, 22
5682, 18
5683, 34
5684, 17
5685, 22
5686, 30
5687, 11
5688, 30
5689, 21
5690, 13
5691, 30
5692, 8
5693, 38
5694, 16
5695, 33
5696, 30
5697, 20
5698, 24
5699, 11
6560, 17
6561, 20
6562, 23
6563, 24
6564, 23
6565, 26
6566, 18
6567, 20
6568, 20
6569, 18
6570, 19
6571, 25
6572, 23
6573, 27
6574, 15
6575, 25
6576, 25
6577, 22
6578, 22
6579, 23
7420, 14
7421, 38
7422, 23
7423, 38
7424, 34
7425, 36
7426, 38
7427, 22
7428, 34
7429, 40
7430, 36
7431, 44
7432, 36
7433, 34
7434, 42
7435, 38
7436, 36
7437, 36
7438, 38
7439, 48
8260, 5
8261, 15
8262, 26
8263, 23
8264, 27
8265, 13
8266, 18
8267, 10
8268, 8
8269, 29
8270, 14
8271, 5
8272, 20
8273, 25
8274, 37
8275, 17
8276, 32
8277, 24
8278, 23
8279, 32
9080, 27
9081, 24
9082, 31
9083, 5
9084, 25
9085, 31
9086, 23
9087, 22
9088, 36
9089, 20
9090, 19
9091, 25
9092, 29
9093, 27
9094, 27
9095, 27
9096, 29
9097, 29
9098, 28
9099, 29
9880, 20
9881, 15
9882, 19
9883, 20
9884, 22
9885, 20
9886, 22
9887, 20
9888, 23
9889, 22
9890, 25
9891, 23
9892, 16
9893, 17
9894, 19
9895, 21
9896, 25
9897, 18
9898, 23
9899, 22
10660, 35
10661, 36
10662, 34
10663, 29
10664, 25
10665, 33
10666, 40
10667, 40
10668, 38
10669, 40
10670, 31
10671, 44
10672, 40
10673, 33
10674, 42
10675, 40
10676, 34
10677, 38
10678, 40
10679, 44
11420, 27
11421, 26
11422, 25
11423, 28
11424, 25
11425, 33
11426, 29
11427, 29
11428, 28
11429, 26
11430, 27
11431, 28
11432, 26
11433, 26
11434, 33
11435, 30
11436, 27
11437, 23
11438, 26
11439, 35
12160, 36
12161, 13
12162, 18
12163, 21
12164, 28
12165, 18
12166, 13
12167, 27
12168, 12
12169, 18
12170, 3
12171, 10
12172, 4
12173, 9
12174, 22
12175, 17
12176, 10
12177, 7
12178, 16
12179, 6
12880, 26
12881, 14
12882, 19
12883, 22
12884, 33
12885, 40
12886, 35
12887, 25
12888, 21
12889, 13
12890, 40
12891, 32
12892, 34
12893, 38
12894, 40
12895, 21
12896, 26
12897, 37
12898, 9
12899, 18
13580, 9
13581, 29
13582, 22
13583, 29
13584, 24
13585, 5
13586, 34
13587, 26
13588, 26
13589, 11
13590, 32
13591, 18
13592, 18
13593, 31
13594, 22
13595, 7
13596, 27
13597, 23
